Protein	Gene.ID	Gene	Status	CAFA
P30044	ENSG00000126432	PRDX5	Known mitochondrial	Da
P30046	ENSG00000099977	DDT	Predicted mitochondrial	Da
P30046	ENSG00000099977	DDT	Predicted mitochondrial	Da
P30048	ENSG00000165672	PRDX3	Known mitochondrial	Da
P30048	ENSG00000165672	PRDX3	Known mitochondrial	Da
P30049	ENSG00000099624	ATP5D	Known mitochondrial	Da
P30084	ENSG00000127884	ECHS1	Known mitochondrial	Da
P30101	ENSG00000167004	PDIA3	Predicted mitochondrial	Da
P30307	ENSG00000158402	CDC25C	Known mitochondrial	Da
P30307	ENSG00000158402	CDC25C	Known mitochondrial	Da
P30307	ENSG00000158402	CDC25C	Known mitochondrial	Da
P30307	ENSG00000158402	CDC25C	Known mitochondrial	Da
P30405	ENSG00000108179	PPIF	Known mitochondrial	Da
P30405	ENSG00000108179	PPIF	Known mitochondrial	Da
P30536	ENSG00000100300	TSPO	Known mitochondrial	Da
P30837	ENSG00000137124	ALDH1B1	Known mitochondrial	Da
P31040	ENSG00000073578	SDHA	Known mitochondrial	Da
P31040	ENSG00000073578	SDHA	Known mitochondrial	Da
P31040	ENSG00000073578	SDHA	Known mitochondrial	Da
P31327	ENSG00000021826	CPS1	Known mitochondrial	Da
P31327	ENSG00000021826	CPS1	Known mitochondrial	Da
P31327	ENSG00000021826	CPS1	Known mitochondrial	Da
P31689	ENSG00000086061	DNAJA1	Predicted mitochondrial	Da
P31689	ENSG00000086061	DNAJA1	Predicted mitochondrial	Da
P31749	ENSG00000142208	AKT1	Known mitochondrial	Da
P31749	ENSG00000142208	AKT1	Known mitochondrial	Da
P31930	ENSG00000010256	UQCRC1	Known mitochondrial	Da
P31937	ENSG00000106049	HIBADH	Known mitochondrial	Da
P31939	ENSG00000138363	ATIC	Predicted mitochondrial	Da
P31939	ENSG00000138363	ATIC	Predicted mitochondrial	Da
P32119	ENSG00000167815	PRDX2	Predicted mitochondrial	Da
P32119	ENSG00000167815	PRDX2	Predicted mitochondrial	Da
P32189	ENSG00000198814	GK	Known mitochondrial	Da
P32189	ENSG00000198814	GK	Known mitochondrial	Da
P32189	ENSG00000198814	GK	Known mitochondrial	Da
P32189	ENSG00000198814	GK	Known mitochondrial	Da
P32243	ENSG00000165588	OTX2	Known mitochondrial	Da
P32243	ENSG00000165588	OTX2	Known mitochondrial	Da
P32322	ENSG00000183010	PYCR1	Known mitochondrial	Da
P32322	ENSG00000183010	PYCR1	Known mitochondrial	Da
P32322	ENSG00000183010	PYCR1	Known mitochondrial	Da
P33121	ENSG00000151726	ACSL1	Known mitochondrial	Da
P33121	ENSG00000151726	ACSL1	Known mitochondrial	Da
P33121	ENSG00000151726	ACSL1	Known mitochondrial	Da
P33316	ENSG00000128951	DUT	Known mitochondrial	Da
P33316	ENSG00000128951	DUT	Known mitochondrial	Da
P33897	ENSG00000101986	ABCD1	Predicted mitochondrial	Da
P34897	ENSG00000182199	SHMT2	Known mitochondrial	Da
P34897	ENSG00000182199	SHMT2	Known mitochondrial	Da
P34897	ENSG00000182199	SHMT2	Known mitochondrial	Da
P35218	ENSG00000174990	CA5A	Known mitochondrial	Da
P35232	ENSG00000167085	PHB	Known mitochondrial	Da
P35232	ENSG00000167085	PHB	Known mitochondrial	Da
P35270	ENSG00000116096	SPR	Predicted mitochondrial	Da
P35579	ENSG00000100345	MYH9	Known mitochondrial	Da
P35579	ENSG00000100345	MYH9	Known mitochondrial	Da
P35580	ENSG00000133026	MYH10	Predicted mitochondrial	Da
P35580	ENSG00000133026	MYH10	Predicted mitochondrial	Da
P35580	ENSG00000133026	MYH10	Predicted mitochondrial	Da
P35580	ENSG00000133026	MYH10	Predicted mitochondrial	Da
P35580	ENSG00000133026	MYH10	Predicted mitochondrial	Da
P35613	ENSG00000172270	BSG	Predicted mitochondrial	Da
P35613	ENSG00000172270	BSG	Predicted mitochondrial	Da
P35613	ENSG00000172270	BSG	Predicted mitochondrial	Da
P35613	ENSG00000172270	BSG	Predicted mitochondrial	Da
P35670	ENSG00000123191	ATP7B	Known mitochondrial	Da
P35670	ENSG00000123191	ATP7B	Known mitochondrial	Da
P35670	ENSG00000123191	ATP7B	Known mitochondrial	Da
P35670	ENSG00000123191	ATP7B	Known mitochondrial	Da
P35914	ENSG00000117305	HMGCL	Known mitochondrial	Da
P35914	ENSG00000117305	HMGCL	Known mitochondrial	Da
P35914	ENSG00000117305	HMGCL	Known mitochondrial	Da
P36404	ENSG00000213465	ARL2	Predicted mitochondrial	Da
P36404	ENSG00000213465	ARL2	Predicted mitochondrial	Da
P36542	ENSG00000165629	ATP5C1	Known mitochondrial	Da
P36542	ENSG00000165629	ATP5C1	Known mitochondrial	Da
P36551	ENSG00000080819	CPOX	Known mitochondrial	Da
P36551	ENSG00000080819	CPOX	Known mitochondrial	Da
P36776	ENSG00000196365	LONP1	Known mitochondrial	Da
P36776	ENSG00000196365	LONP1	Known mitochondrial	Da
P36776	ENSG00000196365	LONP1	Known mitochondrial	Da
P36873	ENSG00000186298	PPP1CC	Predicted mitochondrial	Da
P36873	ENSG00000186298	PPP1CC	Predicted mitochondrial	Da
P36957	ENSG00000119689	DLST	Known mitochondrial	Da
P36957	ENSG00000119689	DLST	Known mitochondrial	Da
P36969	ENSG00000167468	GPX4	Known mitochondrial	Da
P36969	ENSG00000167468	GPX4	Known mitochondrial	Da
P37840	ENSG00000145335	SNCA	Known mitochondrial	Da
P37840	ENSG00000145335	SNCA	Known mitochondrial	Da
P37840	ENSG00000145335	SNCA	Known mitochondrial	Da
P38117	ENSG00000105379	ETFB	Known mitochondrial	Da
P38117	ENSG00000105379	ETFB	Known mitochondrial	Da
P38606	ENSG00000114573	ATP6V1A	Predicted mitochondrial	Da
P38606	ENSG00000114573	ATP6V1A	Predicted mitochondrial	Da
P38646	ENSG00000113013	HSPA9	Known mitochondrial	Da
P39023	ENSG00000100316	RPL3	Predicted mitochondrial	Da
P39210	ENSG00000115204	MPV17	Known mitochondrial	Da
P39748	ENSG00000168496	FEN1	Known mitochondrial	Da
P39748	ENSG00000168496	FEN1	Known mitochondrial	Da
P40305	ENSG00000165949	IFI27	Known mitochondrial	Da
P40763	ENSG00000168610	STAT3	Known mitochondrial	Da
P40763	ENSG00000168610	STAT3	Known mitochondrial	Da
P40763	ENSG00000168610	STAT3	Known mitochondrial	Da
P40926	ENSG00000146701	MDH2	Known mitochondrial	Da
P40926	ENSG00000146701	MDH2	Known mitochondrial	Da
P40939	ENSG00000084754	HADHA	Known mitochondrial	Da
P40939	ENSG00000084754	HADHA	Known mitochondrial	Da
P41247	ENSG00000006757	PNPLA4	Predicted mitochondrial	Da
P41247	ENSG00000006757	PNPLA4	Predicted mitochondrial	Da
P41250	ENSG00000106105	GARS	Known mitochondrial	Da
P42126	ENSG00000167969	ECI1	Known mitochondrial	Da
P42126	ENSG00000167969	ECI1	Known mitochondrial	Da
P42704	ENSG00000138095	LRPPRC	Known mitochondrial	Da
P42765	ENSG00000167315	ACAA2	Known mitochondrial	Da
P43155	ENSG00000095321	CRAT	Known mitochondrial	Da
P43155	ENSG00000095321	CRAT	Known mitochondrial	Da
P43155	ENSG00000095321	CRAT	Known mitochondrial	Da
P43304	ENSG00000115159	GPD2	Known mitochondrial	Da
P43304	ENSG00000115159	GPD2	Known mitochondrial	Da
P43897	ENSG00000123297	TSFM	Known mitochondrial	Da
P43897	ENSG00000123297	TSFM	Known mitochondrial	Da
P43897	ENSG00000123297	TSFM	Known mitochondrial	Da
P43897	ENSG00000123297	TSFM	Known mitochondrial	Da
P45880	ENSG00000165637	VDAC2	Known mitochondrial	Da
P45880	ENSG00000165637	VDAC2	Known mitochondrial	Da
P45880	ENSG00000165637	VDAC2	Known mitochondrial	Da
P45954	ENSG00000196177	ACADSB	Known mitochondrial	Da
P45954	ENSG00000196177	ACADSB	Known mitochondrial	Da
P46020	ENSG00000067177	PHKA1	Predicted mitochondrial	Da
P46020	ENSG00000067177	PHKA1	Predicted mitochondrial	Da
P46020	ENSG00000067177	PHKA1	Predicted mitochondrial	Da
P46199	ENSG00000085760	MTIF2	Known mitochondrial	Da
P46777	ENSG00000122406	RPL5	Predicted mitochondrial	Da
P46781	ENSG00000170889	RPS9	Predicted mitochondrial	Da
P47900	ENSG00000169860	P2RY1	Known mitochondrial	Da
P47985	ENSG00000169021	UQCRFS1	Known mitochondrial	Da
P48047	ENSG00000241837	ATP5O	Known mitochondrial	Da
P48048	ENSG00000151704	KCNJ1	Known mitochondrial	Da
P48048	ENSG00000151704	KCNJ1	Known mitochondrial	Da
P48048	ENSG00000151704	KCNJ1	Known mitochondrial	Da
P48201	ENSG00000154518	ATP5G3	Known mitochondrial	Da
P48449	ENSG00000160285	LSS	Predicted mitochondrial	Da
P48449	ENSG00000160285	LSS	Predicted mitochondrial	Da
P48449	ENSG00000160285	LSS	Predicted mitochondrial	Da
P48728	ENSG00000145020	AMT	Known mitochondrial	Da
P48728	ENSG00000145020	AMT	Known mitochondrial	Da
P48728	ENSG00000145020	AMT	Known mitochondrial	Da
P48728	ENSG00000145020	AMT	Known mitochondrial	Da
P48735	ENSG00000182054	IDH2	Known mitochondrial	Da
P48735	ENSG00000182054	IDH2	Known mitochondrial	Da
P49189	ENSG00000143149	ALDH9A1	Known mitochondrial	Da
P49189	ENSG00000143149	ALDH9A1	Known mitochondrial	Da
P49207	ENSG00000109475	RPL34	Predicted mitochondrial	Da
P49247	ENSG00000153574	RPIA	Known mitochondrial	Da
P49257	ENSG00000074695	LMAN1	Predicted mitochondrial	Da
P49281	ENSG00000110911	SLC11A2	Known mitochondrial	Da
P49281	ENSG00000110911	SLC11A2	Known mitochondrial	Da
P49281	ENSG00000110911	SLC11A2	Known mitochondrial	Da
P49281	ENSG00000110911	SLC11A2	Known mitochondrial	Da
P49281	ENSG00000110911	SLC11A2	Known mitochondrial	Da
P49406	ENSG00000115364	MRPL19	Known mitochondrial	Da
P49411	ENSG00000178952	TUFM	Known mitochondrial	Da
P49419	ENSG00000164904	ALDH7A1	Known mitochondrial	Da
P49419	ENSG00000164904	ALDH7A1	Known mitochondrial	Da
P49419	ENSG00000164904	ALDH7A1	Known mitochondrial	Da
P49448	ENSG00000182890	GLUD2	Known mitochondrial	Da
P49590	ENSG00000112855	HARS2	Known mitochondrial	Da
P49590	ENSG00000112855	HARS2	Known mitochondrial	Da
P49675	ENSG00000147465	STAR	Known mitochondrial	Da
P49720	ENSG00000277791	PSMB3	Predicted mitochondrial	Da
P49748	ENSG00000072778	ACADVL	Known mitochondrial	Da
P49748	ENSG00000072778	ACADVL	Known mitochondrial	Da
P49748	ENSG00000072778	ACADVL	Known mitochondrial	Da
P49753	ENSG00000119673	ACOT2	Known mitochondrial	Da
P49753	ENSG00000119673	ACOT2	Known mitochondrial	Da
P49768	ENSG00000080815	PSEN1	Known mitochondrial	Da
P49768	ENSG00000080815	PSEN1	Known mitochondrial	Da
P49768	ENSG00000080815	PSEN1	Known mitochondrial	Da
P49768	ENSG00000080815	PSEN1	Known mitochondrial	Da
P49768	ENSG00000080815	PSEN1	Known mitochondrial	Da
P49768	ENSG00000080815	PSEN1	Known mitochondrial	Da
P49768	ENSG00000080815	PSEN1	Known mitochondrial	Da
P49789	ENSG00000189283	FHIT	Predicted mitochondrial	Da
P49821	ENSG00000167792	NDUFV1	Known mitochondrial	Da
P49821	ENSG00000167792	NDUFV1	Known mitochondrial	Da
P49901	ENSG00000163206	SMCP	Known mitochondrial	NA
P49914	ENSG00000136371	MTHFS	Known mitochondrial	Da
P49914	ENSG00000136371	MTHFS	Known mitochondrial	Da
P49916	ENSG00000005156	LIG3	Known mitochondrial	Da
P49916	ENSG00000005156	LIG3	Known mitochondrial	Da
P49916	ENSG00000005156	LIG3	Known mitochondrial	Da
P49916	ENSG00000005156	LIG3	Known mitochondrial	Da
P50213	ENSG00000166411	IDH3A	Known mitochondrial	Da
P50213	ENSG00000166411	IDH3A	Known mitochondrial	Da
P50336	ENSG00000143224	PPOX	Known mitochondrial	Da
P50416	ENSG00000110090	CPT1A	Known mitochondrial	Da
P50416	ENSG00000110090	CPT1A	Known mitochondrial	Da
P50440	ENSG00000171766	GATM	Known mitochondrial	Da
P50440	ENSG00000171766	GATM	Known mitochondrial	Da
P50440	ENSG00000171766	GATM	Known mitochondrial	Da
P50583	ENSG00000164978	NUDT2	Predicted mitochondrial	Da
P51398	ENSG00000132676	DAP3	Known mitochondrial	Da
P51398	ENSG00000132676	DAP3	Known mitochondrial	Da
P51398	ENSG00000132676	DAP3	Known mitochondrial	Da
P51530	ENSG00000138346	DNA2	Known mitochondrial	Da
P51530	ENSG00000138346	DNA2	Known mitochondrial	Da
P51530	ENSG00000138346	DNA2	Known mitochondrial	Da
P51530	ENSG00000138346	DNA2	Known mitochondrial	Da
P51553	ENSG00000067829	IDH3G	Known mitochondrial	Da
P51553	ENSG00000067829	IDH3G	Known mitochondrial	Da
P51648	ENSG00000072210	ALDH3A2	Known mitochondrial	Da
P51648	ENSG00000072210	ALDH3A2	Known mitochondrial	Da
P51649	ENSG00000112294	ALDH5A1	Known mitochondrial	Da
P51649	ENSG00000112294	ALDH5A1	Known mitochondrial	Da
P51687	ENSG00000139531	SUOX	Known mitochondrial	Da
P51970	ENSG00000119421	NDUFA8	Known mitochondrial	Da
P52758	ENSG00000132541	RIDA	Known mitochondrial	Da
P52789	ENSG00000159399	HK2	Predicted mitochondrial	Da
P52790	ENSG00000160883	HK3	Predicted mitochondrial	NA
P52815	ENSG00000262814	MRPL12	Known mitochondrial	Da
P53007	ENSG00000100075	SLC25A1	Known mitochondrial	Da
P53370	ENSG00000170917	NUDT6	Known mitochondrial	NA
P53370	ENSG00000170917	NUDT6	Known mitochondrial	NA
P53396	ENSG00000131473	ACLY	Known mitochondrial	Da
P53396	ENSG00000131473	ACLY	Known mitochondrial	Da
P53396	ENSG00000131473	ACLY	Known mitochondrial	Da
P53597	ENSG00000163541	SUCLG1	Known mitochondrial	Da
P53701	ENSG00000004961	HCCS	Known mitochondrial	Da
P53778	ENSG00000188130	MAPK12	Known mitochondrial	Da
P53778	ENSG00000188130	MAPK12	Known mitochondrial	Da
P54098	ENSG00000140521	POLG	Known mitochondrial	Da
P54296	ENSG00000036448	MYOM2	Predicted mitochondrial	Da
P54687	ENSG00000060982	BCAT1	Predicted mitochondrial	Da
P54687	ENSG00000060982	BCAT1	Predicted mitochondrial	Da
P54687	ENSG00000060982	BCAT1	Predicted mitochondrial	Da
P54687	ENSG00000060982	BCAT1	Predicted mitochondrial	Da
P54687	ENSG00000060982	BCAT1	Predicted mitochondrial	Da
P54819	ENSG00000004455	AK2	Known mitochondrial	Da
P54819	ENSG00000004455	AK2	Known mitochondrial	Da
P54819	ENSG00000004455	AK2	Known mitochondrial	Da
P54819	ENSG00000004455	AK2	Known mitochondrial	Da
P54819	ENSG00000004455	AK2	Known mitochondrial	Da
P54819	ENSG00000004455	AK2	Known mitochondrial	Da
P54868	ENSG00000134240	HMGCS2	Known mitochondrial	Da
P54868	ENSG00000134240	HMGCS2	Known mitochondrial	Da
P54868	ENSG00000134240	HMGCS2	Known mitochondrial	Da
P54886	ENSG00000059573	ALDH18A1	Known mitochondrial	Da
P54886	ENSG00000059573	ALDH18A1	Known mitochondrial	Da
P55061	ENSG00000139644	TMBIM6	Predicted mitochondrial	Da
P55061	ENSG00000139644	TMBIM6	Predicted mitochondrial	Da
P55084	ENSG00000138029	HADHB	Known mitochondrial	Da
P55084	ENSG00000138029	HADHB	Known mitochondrial	Da
P55789	ENSG00000127554	GFER	Known mitochondrial	Da
P55789	ENSG00000127554	GFER	Known mitochondrial	Da
P55809	ENSG00000083720	OXCT1	Known mitochondrial	Da
P55809	ENSG00000083720	OXCT1	Known mitochondrial	Da
P55851	ENSG00000175567	UCP2	Known mitochondrial	Da
P55916	ENSG00000175564	UCP3	Known mitochondrial	Da
P55916	ENSG00000175564	UCP3	Known mitochondrial	Da
P55916	ENSG00000175564	UCP3	Known mitochondrial	Da
P56134	ENSG00000241468	ATP5J2	Known mitochondrial	Da
P56134	ENSG00000241468	ATP5J2	Known mitochondrial	Da
P56134	ENSG00000241468	ATP5J2	Known mitochondrial	Da
P56134	ENSG00000241468	ATP5J2	Known mitochondrial	Da
P56181	ENSG00000160194	NDUFV3	Known mitochondrial	Da
P56181	ENSG00000160194	NDUFV3	Known mitochondrial	Da
P56277	ENSG00000182712	CMC4	Predicted mitochondrial	Da
P56278	ENSG00000214827	MTCP1	Predicted mitochondrial	NA
P56378	ENSG00000156411	C14orf2	Known mitochondrial	NA
P56378	ENSG00000156411	C14orf2	Known mitochondrial	NA
P56381	ENSG00000124172	ATP5E	Known mitochondrial	Da
P56385	ENSG00000169020	ATP5I	Known mitochondrial	Da
P56556	ENSG00000184983	NDUFA6	Known mitochondrial	Da
P56962	ENSG00000136874	STX17	Known mitochondrial	Da
P57103	ENSG00000100678	SLC8A3	Known mitochondrial	Da
P57103	ENSG00000100678	SLC8A3	Known mitochondrial	Da
P57103	ENSG00000100678	SLC8A3	Known mitochondrial	Da
P57103	ENSG00000100678	SLC8A3	Known mitochondrial	Da
P57103	ENSG00000100678	SLC8A3	Known mitochondrial	Da
P57103	ENSG00000100678	SLC8A3	Known mitochondrial	Da
P57103	ENSG00000100678	SLC8A3	Known mitochondrial	Da
P57105	ENSG00000213463	SYNJ2BP	Known mitochondrial	Da
P58557	ENSG00000182362	YBEY	Known mitochondrial	Da
P58557	ENSG00000182362	YBEY	Known mitochondrial	Da
P58557	ENSG00000182362	YBEY	Known mitochondrial	Da
P58557	ENSG00000182362	YBEY	Known mitochondrial	Da
P59103	ENSG00000182346	DAOA	Known mitochondrial	Da
P59103	ENSG00000182346	DAOA	Known mitochondrial	Da
P59103	ENSG00000182346	DAOA	Known mitochondrial	Da
P59103	ENSG00000182346	DAOA	Known mitochondrial	Da
P59942	ENSG00000204511	MCCD1	Known mitochondrial	NA
P60174	ENSG00000111669	TPI1	Predicted mitochondrial	Da
P60174	ENSG00000111669	TPI1	Predicted mitochondrial	Da
P60174	ENSG00000111669	TPI1	Predicted mitochondrial	Da
P60602	ENSG00000125995	ROMO1	Known mitochondrial	Da
P60602	ENSG00000125995	ROMO1	Known mitochondrial	Da
P60709	ENSG00000075624	ACTB	Known mitochondrial	Da
P60983	ENSG00000197045	GMFB	Predicted mitochondrial	NA
P61088	ENSG00000177889	UBE2N	Predicted mitochondrial	Da
P61221	ENSG00000164163	ABCE1	Predicted mitochondrial	Da
P61313	ENSG00000174748	RPL15	Predicted mitochondrial	Da
P61313	ENSG00000174748	RPL15	Predicted mitochondrial	Da
P61586	ENSG00000067560	RHOA	Predicted mitochondrial	Da
P61604	ENSG00000115541	HSPE1	Known mitochondrial	Da
P61978	ENSG00000165119	HNRNPK	Known mitochondrial	Da
P61978	ENSG00000165119	HNRNPK	Known mitochondrial	Da
P61978	ENSG00000165119	HNRNPK	Known mitochondrial	Da
P62072	ENSG00000134809	TIMM10	Known mitochondrial	Da
P62241	ENSG00000142937	RPS8	Predicted mitochondrial	Da
P62244	ENSG00000134419	RPS15A	Predicted mitochondrial	Da
P62256	ENSG00000186591	UBE2H	Predicted mitochondrial	NA
P62256	ENSG00000186591	UBE2H	Predicted mitochondrial	NA
P62258	ENSG00000108953	YWHAE	Predicted mitochondrial	Da
P62258	ENSG00000108953	YWHAE	Predicted mitochondrial	Da
P62263	ENSG00000164587	RPS14	Predicted mitochondrial	Da
P62269	ENSG00000231500	RPS18	Predicted mitochondrial	Da
P62888	ENSG00000156482	RPL30	Predicted mitochondrial	Da
P62906	ENSG00000198755	RPL10A	Predicted mitochondrial	Da
P62917	ENSG00000161016	RPL8	Predicted mitochondrial	Da
P63010	ENSG00000006125	AP2B1	Predicted mitochondrial	Da
P63010	ENSG00000006125	AP2B1	Predicted mitochondrial	Da
P63010	ENSG00000006125	AP2B1	Predicted mitochondrial	Da
P63104	ENSG00000164924	YWHAZ	Predicted mitochondrial	Da
P63104	ENSG00000164924	YWHAZ	Predicted mitochondrial	Da
P63218	ENSG00000174021	GNG5	Predicted mitochondrial	Da
P63244	ENSG00000204628	RACK1	Predicted mitochondrial	Da
P78537	ENSG00000135441	BLOC1S1	Known mitochondrial	Da
P78537	ENSG00000135441	BLOC1S1	Known mitochondrial	Da
P78540	ENSG00000081181	ARG2	Known mitochondrial	Da
P78549	ENSG00000065057	NTHL1	Predicted mitochondrial	Da
P78549	ENSG00000065057	NTHL1	Predicted mitochondrial	Da
P78549	ENSG00000065057	NTHL1	Predicted mitochondrial	Da
P80404	ENSG00000183044	ABAT	Known mitochondrial	Da
P82650	ENSG00000175110	MRPS22	Known mitochondrial	Da
P82650	ENSG00000175110	MRPS22	Known mitochondrial	Da
P82663	ENSG00000131368	MRPS25	Known mitochondrial	Da
P82663	ENSG00000131368	MRPS25	Known mitochondrial	Da
P82663	ENSG00000131368	MRPS25	Known mitochondrial	Da
P82664	ENSG00000048544	MRPS10	Known mitochondrial	Da
P82673	ENSG00000061794	MRPS35	Known mitochondrial	Da
P82673	ENSG00000061794	MRPS35	Known mitochondrial	Da
P82675	ENSG00000144029	MRPS5	Known mitochondrial	Da
P82675	ENSG00000144029	MRPS5	Known mitochondrial	Da
P82909	ENSG00000134056	MRPS36	Known mitochondrial	Da
P82912	ENSG00000181991	MRPS11	Known mitochondrial	Da
P82912	ENSG00000181991	MRPS11	Known mitochondrial	Da
P82912	ENSG00000181991	MRPS11	Known mitochondrial	Da
P82914	ENSG00000116898	MRPS15	Known mitochondrial	Da
P82930	ENSG00000074071	MRPS34	Known mitochondrial	Da
P82932	ENSG00000243927	MRPS6	Known mitochondrial	Da
P82933	ENSG00000135972	MRPS9	Known mitochondrial	Da
P83111	ENSG00000103642	LACTB	Known mitochondrial	Da
P83111	ENSG00000103642	LACTB	Known mitochondrial	Da
P99999	ENSG00000172115	CYCS	Known mitochondrial	Da
Q00059	ENSG00000108064	TFAM	Known mitochondrial	Da
Q00059	ENSG00000108064	TFAM	Known mitochondrial	Da
Q00325	ENSG00000075415	SLC25A3	Known mitochondrial	Da
Q00325	ENSG00000075415	SLC25A3	Known mitochondrial	Da
Q00610	ENSG00000141367	CLTC	Predicted mitochondrial	Da
Q00610	ENSG00000141367	CLTC	Predicted mitochondrial	Da
Q00G26	ENSG00000214456	PLIN5	Known mitochondrial	NA
Q01415	ENSG00000156958	GALK2	Predicted mitochondrial	NA
Q01415	ENSG00000156958	GALK2	Predicted mitochondrial	NA
Q01433	ENSG00000116337	AMPD2	Predicted mitochondrial	Da
Q01433	ENSG00000116337	AMPD2	Predicted mitochondrial	Da
Q01433	ENSG00000116337	AMPD2	Predicted mitochondrial	Da
Q01433	ENSG00000116337	AMPD2	Predicted mitochondrial	Da
Q01433	ENSG00000116337	AMPD2	Predicted mitochondrial	Da
Q02127	ENSG00000102967	DHODH	Known mitochondrial	Da
Q02156	ENSG00000171132	PRKCE	Known mitochondrial	Da
Q02218	ENSG00000105953	OGDH	Known mitochondrial	Da
Q02218	ENSG00000105953	OGDH	Known mitochondrial	Da
Q02218	ENSG00000105953	OGDH	Known mitochondrial	Da
Q02221	ENSG00000156885	COX6A2	Known mitochondrial	NA
Q02252	ENSG00000119711	ALDH6A1	Known mitochondrial	Da
Q02252	ENSG00000119711	ALDH6A1	Known mitochondrial	Da
Q02318	ENSG00000135929	CYP27A1	Known mitochondrial	Da
Q02338	ENSG00000161267	BDH1	Known mitochondrial	Da
Q02543	ENSG00000105640	RPL18A	Predicted mitochondrial	Da
Q02790	ENSG00000004478	FKBP4	Known mitochondrial	Da
Q02878	ENSG00000089009	RPL6	Predicted mitochondrial	Da
Q02978	ENSG00000108528	SLC25A11	Known mitochondrial	Da
Q02978	ENSG00000108528	SLC25A11	Known mitochondrial	Da
Q03393	ENSG00000150787	PTS	Predicted mitochondrial	Da
Q04837	ENSG00000106028	SSBP1	Known mitochondrial	Da
Q05823	ENSG00000135828	RNASEL	Known mitochondrial	Da
Q05823	ENSG00000135828	RNASEL	Known mitochondrial	Da
Q05932	ENSG00000136877	FPGS	Known mitochondrial	Da
Q05932	ENSG00000136877	FPGS	Known mitochondrial	Da
Q05932	ENSG00000136877	FPGS	Known mitochondrial	Da
Q05932	ENSG00000136877	FPGS	Known mitochondrial	Da
Q05C16	ENSG00000173988	LRRC63	Predicted mitochondrial	NA
Q06055	ENSG00000135390	ATP5G2	Known mitochondrial	Da
Q06055	ENSG00000135390	ATP5G2	Known mitochondrial	Da
Q06055	ENSG00000135390	ATP5G2	Known mitochondrial	Da
Q06124	ENSG00000179295	PTPN11	Known mitochondrial	Da
Q06124	ENSG00000179295	PTPN11	Known mitochondrial	Da
Q06124	ENSG00000179295	PTPN11	Known mitochondrial	Da
Q06609	ENSG00000051180	RAD51	Known mitochondrial	Da
Q06609	ENSG00000051180	RAD51	Known mitochondrial	Da
Q06609	ENSG00000051180	RAD51	Known mitochondrial	Da
Q06609	ENSG00000051180	RAD51	Known mitochondrial	Da
Q06830	ENSG00000117450	PRDX1	Predicted mitochondrial	Da
Q07021	ENSG00000108561	C1QBP	Known mitochondrial	Da
Q07812	ENSG00000087088	BAX	Known mitochondrial	Da
Q07812	ENSG00000087088	BAX	Known mitochondrial	Da
Q07812	ENSG00000087088	BAX	Known mitochondrial	Da
Q07812	ENSG00000087088	BAX	Known mitochondrial	Da
Q07812	ENSG00000087088	BAX	Known mitochondrial	Da
Q07812	ENSG00000087088	BAX	Known mitochondrial	Da
Q07812	ENSG00000087088	BAX	Known mitochondrial	Da
Q07812	ENSG00000087088	BAX	Known mitochondrial	Da
Q07817	ENSG00000171552	BCL2L1	Known mitochondrial	Da
Q07817	ENSG00000171552	BCL2L1	Known mitochondrial	Da
Q07817	ENSG00000171552	BCL2L1	Known mitochondrial	Da
Q07820	ENSG00000143384	MCL1	Predicted mitochondrial	Da
Q07820	ENSG00000143384	MCL1	Predicted mitochondrial	Da
Q07973	ENSG00000019186	CYP24A1	Known mitochondrial	Da
Q07973	ENSG00000019186	CYP24A1	Known mitochondrial	Da
Q07973	ENSG00000019186	CYP24A1	Known mitochondrial	Da
Q08257	ENSG00000116791	CRYZ	Known mitochondrial	Da
Q08257	ENSG00000116791	CRYZ	Known mitochondrial	Da
Q08257	ENSG00000116791	CRYZ	Known mitochondrial	Da
Q08AH1	ENSG00000166743	ACSM1	Known mitochondrial	Da
Q08AH1	ENSG00000166743	ACSM1	Known mitochondrial	Da
Q08AH3	ENSG00000183747	ACSM2A	Known mitochondrial	NA
Q08E91	ENSG00000110717	NDUFS8	Known mitochondrial	NA
Q09013	ENSG00000104936	DMPK	Known mitochondrial	Da
Q09013	ENSG00000104936	DMPK	Known mitochondrial	Da
Q09013	ENSG00000104936	DMPK	Known mitochondrial	Da
Q09013	ENSG00000104936	DMPK	Known mitochondrial	Da
Q09013	ENSG00000104936	DMPK	Known mitochondrial	Da
Q09013	ENSG00000104936	DMPK	Known mitochondrial	Da
Q09013	ENSG00000104936	DMPK	Known mitochondrial	Da
Q09013	ENSG00000104936	DMPK	Known mitochondrial	Da
Q09013	ENSG00000104936	DMPK	Known mitochondrial	Da
Q09013	ENSG00000104936	DMPK	Known mitochondrial	Da
Q09013	ENSG00000104936	DMPK	Known mitochondrial	Da
Q09013	ENSG00000104936	DMPK	Known mitochondrial	Da
Q10713	ENSG00000165688	PMPCA	Known mitochondrial	Da
Q10713	ENSG00000165688	PMPCA	Known mitochondrial	Da
Q12791	ENSG00000156113	KCNMA1	Known mitochondrial	Da
Q12791	ENSG00000156113	KCNMA1	Known mitochondrial	Da
Q12791	ENSG00000156113	KCNMA1	Known mitochondrial	Da
Q12791	ENSG00000156113	KCNMA1	Known mitochondrial	Da
Q12791	ENSG00000156113	KCNMA1	Known mitochondrial	Da
