"Gene.ID"	"Symbol"	"Homologs"	"Description"	"Category"	"Score"	"Evidence"	"Notes"	"OMIM_ID"	"Dis_description"	"DomRec"	"WashU"	"Disease"	"pLI"
"854"	"ENSG00000151498"	"ACAD8"	"ENSG00000151498 ENSDARG00000042658 ENSMUSG00000031969 ENSRNOG00000048164 "	"acyl-CoA dehydrogenase family, member 8"	"Known mitochondrial"	0.99999999	"PMID17705834_embryonic_stem_cell_line_0: 1 | PMID18348319_heart_0: 1 | PMID19567276_skeletal_muscle_0: 1 | PMID24708184_Sum: 4 | PMID26450961_Sum: 14 | PMID16615898_Sum: 2 | PMID16615899_liver_0: 1 | PMID21189371_mammary_gland_0: 1 | MS_Placenta_Sum: 1 | MS_Brain_Sum: 5 | MS_Skeletal_Muscle_Sum: 2 | MS_Liver_Sum: 2 | MS_Kidney_Sum: 2 | MS_Heart_Sum: 3 | MTS_Mean: 0.8462125 | compartments_knowledge_difference: 1 | Cluh_Enrichment: 1 | Comm_Mito_Ratio: 0.923 | "	"Characterised"	"611283"	"Isobutyryl-CoA dehydrogenase deficiency"	"R"	"MitoDis"	1	1.16610074814559e-05
"855"	"ENSG00000151552"	"QDPR"	"ENSG00000151552 ENSDARG00000090822 ENSMUSG00000015806 ENSRNOG00000003253 "	"quinoid dihydropteridine reductase"	"Known mitochondrial"	0.999998808	"PMID16415296_unknown_0: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID18348319_heart_0: 1 | PMID19567276_skeletal_muscle_0: 1 | PMID19700791_liver_0: 1 | PMID24708184_Sum: 1 | PMID16615898_Sum: 4 | PMID26217684_brain_0: 1 | MS_Brain_Sum: 3 | MS_Skeletal_Muscle_Sum: 1 | MS_Liver_Sum: 2 | MS_Kidney_Sum: 1 | MS_Heart_Sum: 2 | MTS_Mean: 0.57705 | hela_subcell_location_Mitochondrion: 1 | HPA_Mitochondria: 1 | compartments_knowledge_difference: -1.0 | Comm_Mito_Ratio: 0.286 | "	"Metabolic model; APEX; PMID:23371551"	"261630"	"Hyperphenylalaninemia, BH4-deficient, C"	"R"	NA	1	0.0658164274641498
"856"	"ENSG00000151576"	"QTRTD1"	"ENSG00000151576 ENSDARG00000016093 ENSMUSG00000022704 ENSRNOG00000060729 "	"queuine tRNA-ribosyltransferase domain containing 1"	"Known mitochondrial"	0.996420079	"MTS_Mean: 0.1151625 | hela_subcell_location_Mitochondrion: 1 | HPA_NonMitochondria: 1 | Rickettsia_Homolog: 1 | compartments_knowledge_difference: 1.8 | Comm_Mito_Ratio: 0.429 | "	"Literature; PMID:19414587"	NA	NA	NA	NA	0	2.19116828365188e-05
"857"	"ENSG00000151611"	"MMAA"	"ENSG00000151611 ENSDARG00000060383 ENSMUSG00000037022 ENSRNOG00000011618 "	"methylmalonic aciduria (cobalamin deficiency) cblA type"	"Known mitochondrial"	0.999993405	"PMID18348319_heart_0: 1 | PMID19700791_liver_0: 1 | MS_Liver_Sum: 1 | MS_Heart_Sum: 1 | MTS_Mean: 0.74418125 | HPA_Cytoplasm: 1 | compartments_knowledge_difference: 0.6 | Comm_Mito_Ratio: 0.917 | "	"Characterised"	"251100"	"Methylmalonic aciduria, vitamin B12-responsive"	"R"	"MitoDis"	1	0.00318180827221776
"858"	"ENSG00000151640"	"DPYSL4"	"ENSG00000151640 ENSDARG00000103490 ENSMUSG00000025478 ENSRNOG00000027582 "	"dihydropyrimidinase-like 4"	"Predicted mitochondrial"	0.948553754	"PMID16615898_Sum: 1 | MS_Brain_Sum: 1 | MTS_Mean: 0.38598125 | HPA_Mitochondria: 1 | HPA_NonMitochondria: 1 | Comm_Mito_Ratio: 0.278 | "	""	NA	NA	NA	NA	0	5.85788198919438e-06
"859"	"ENSG00000151704"	"KCNJ1"	"ENSG00000151704 ENSDARG00000002666 ENSMUSG00000041248 ENSRNOG00000059005 "	"potassium channel, inwardly rectifying subfamily J, member 1"	"Known mitochondrial"	0.366921053	"MTS_Mean: 0.79016875 | compartments_knowledge_difference: -1.8 | Comm_Mito_Ratio: 0.2 | "	"Literature; PMID:22811560"	"241200"	"Bartter syndrome, type 2"	"R"	NA	1	0.001702478576957
"860"	"ENSG00000151726"	"ACSL1"	"ENSG00000151726 ENSDARG00000030514 ENSMUSG00000018796 ENSRNOG00000010633 "	"acyl-CoA synthetase long-chain family member 1"	"Known mitochondrial"	0.999988552	"PMID12592411_heart_0: 1 | PMID14651853_Sum: 3 | PMID15253431_Sum: 1 | PMID16415296_unknown_0: 1 | PMID17705834_embryonic_stem_cell_line_0: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID18348319_heart_0: 1 | PMID19567276_skeletal_muscle_0: 1 | PMID19700791_liver_0: 1 | PMID24708184_Sum: 4 | PMID11840540_liver_0: 1 | PMID15507458_liver_0: 1 | PMID16615898_Sum: 5 | PMID16615899_liver_0: 1 | PMID16674101_Sum: 2 | PMID17000643_Sum: 2 | PMID18232058_liver_0: 1 | PMID21189371_mammary_gland_0: 1 | PMID21672642_liver_0: 1 | MS_Placenta_Sum: 1 | MS_Brain_Sum: 2 | MS_Skeletal_Muscle_Sum: 2 | MS_Liver_Sum: 10 | MS_Kidney_Sum: 2 | MS_Heart_Sum: 6 | MTS_Mean: 0.1213875 | HPA_Mitochondria: 1 | HPA_NonMitochondria: 1 | Rickettsia_Homolog: 1 | compartments_knowledge_difference: 0.8 | Comm_Mito_Ratio: 0.867 | "	"Metabolic model; Literature; PMID:22022213"	NA	NA	NA	NA	0	0.0918373313295172
"861"	"ENSG00000151729"	"SLC25A4"	"ENSG00000151729 ENSDARG00000027355 ENSMUSG00000031633 ENSRNOG00000010830 "	"solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 4"	"Known mitochondrial"	0.999999958	"PMID12592411_heart_0: 1 | PMID15253431_Sum: 2 | PMID16415296_unknown_0: 1 | PMID17519225_T_leukemia_cell_line_0: 1 | PMID17705834_embryonic_stem_cell_line_0: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID18348319_heart_0: 1 | PMID19567276_skeletal_muscle_0: 1 | PMID19700791_liver_0: 1 | PMID24708184_Sum: 4 | PMID26450961_Sum: 14 | PMID12210211_Sum: 1 | PMID12865426_liver_0: 1 | PMID15501831_Sum: 1 | PMID15598749_T_leukemia_cell_line_0: 1 | PMID16615898_Sum: 5 | PMID16615899_liver_0: 1 | PMID16674101_Sum: 2 | PMID17000643_Sum: 1 | PMID23971408_neuroblastoma_.SH.SY5Y._cell_line_0: 1 | PMID26217684_brain_0: 1 | MS_Placenta_Sum: 1 | MS_Brain_Sum: 7 | MS_Skeletal_Muscle_Sum: 3 | MS_Liver_Sum: 6 | MS_Kidney_Sum: 2 | MS_Heart_Sum: 8 | MTS_Mean: 0.0776125 | hela_subcell_location_Mitochondrion: 1 | compartments_knowledge_difference: 1.2 | Comm_Mito_Ratio: 0.857 | "	"Metabolic model"	"615418,609283"	"Mitochondrial DNA depletion syndrome 12 (cardiomyopathic type); Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal dominant, 2"	"B"	"MitoDis"	1	0.483364232516032
"862"	"ENSG00000151806"	"GUF1"	"ENSG00000151806 ENSDARG00000029088 ENSMUSG00000029208 ENSRNOG00000002207 SPAC1B3.04c YLR289W "	"GUF1 homolog, GTPase"	"Known mitochondrial"	1	"PMID23956156_INS.1Beta_cell_line__0: 1 | PMID18348319_heart_0: 1 | PMID24708184_Sum: 4 | PMID26450961_Sum: 13 | MS_Placenta_Sum: 1 | MS_Brain_Sum: 5 | MS_Skeletal_Muscle_Sum: 1 | MS_Liver_Sum: 1 | MS_Kidney_Sum: 1 | MS_Heart_Sum: 1 | MTS_Mean: 0.7845625 | hela_subcell_location_Mitochondrion: 1 | HPA_Mitochondria: 1 | HPA_NonMitochondria: 1 | YeastMitoEvidenceGFP: 1 | Rickettsia_Homolog: 1 | compartments_knowledge_difference: 1.6 | Cluh_Enrichment: 1 | Comm_Mito_Ratio: 1 | "	"Characterised; APEX; PMID:23371551"	"617065"	"Epileptic encephalopathy, early infantile, 40"	"R"	NA	1	2.3678005877753e-11
"863"	"ENSG00000152234"	"ATP5A1"	"ENSG00000152234 ENSDARG00000010149 ENSMUSG00000025428 SPAC14C4.14 YBL099W "	"ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle"	"Known mitochondrial"	0.999989455	"PMID12592411_heart_0: 1 | PMID14651853_Sum: 4 | PMID15253431_Sum: 2 | PMID17519225_T_leukemia_cell_line_0: 1 | PMID17705834_embryonic_stem_cell_line_0: 1 | PMID18348319_heart_0: 1 | PMID19567276_skeletal_muscle_0: 1 | PMID24708184_Sum: 4 | PMID26450961_Sum: 14 | PMID12210211_Sum: 1 | PMID12601808_placenta_0: 1 | PMID12652598_neuroblastoma_cell_line_IMR.32_0: 1 | PMID12865426_liver_0: 1 | PMID15501831_Sum: 2 | PMID15598749_T_leukemia_cell_line_0: 1 | PMID15986334_immortalized_lymphoblastoid_cell_line_0: 1 | PMID16120276_neuroblastoma_cell_line_SH.SY5Y_0: 1 | PMID16520066_articular_chondrocytes_0: 1 | PMID16615898_Sum: 6 | PMID16615899_liver_0: 1 | PMID18232058_liver_0: 1 | PMID21189371_mammary_gland_0: 1 | PMID21360670_skeletal_muscle_0: 1 | PMID23971408_neuroblastoma_.SH.SY5Y._cell_line_0: 1 | MS_Placenta_Sum: 3 | MS_Brain_Sum: 7 | MS_Skeletal_Muscle_Sum: 3 | MS_Liver_Sum: 6 | MS_Kidney_Sum: 3 | MS_Heart_Sum: 8 | MTS_Mean: 0.74300625 | hela_subcell_location_Mitochondrion: 1 | HPA_Mitochondria: 1 | YeastMitoEvidenceGFP: 1 | MammalMitoEvidenceGFP: 1 | Rickettsia_Homolog: 1 | compartments_knowledge_difference: 0.2 | Cluh_Enrichment: 1 | Comm_Mito_Ratio: 1 | "	"Characterised; Metabolic model; "	"616045,615228"	"Combined oxidative phosphorylation deficiency 22; Mitochondrial complex V (ATP synthase) deficiency, nuclear type 4"	"R"	"MitoDis"	1	0.998862483879488
"864"	"ENSG00000152256"	"PDK1"	"ENSG00000152256 ENSDARG00000013128 ENSMUSG00000006494 ENSRNOG00000001517 "	"pyruvate dehydrogenase kinase, isozyme 1"	"Known mitochondrial"	1	"PMID16415296_unknown_0: 1 | PMID17519225_T_leukemia_cell_line_0: 1 | PMID18348319_heart_0: 1 | PMID19700791_liver_0: 1 | PMID24708184_Sum: 3 | PMID26450961_Sum: 14 | PMID15986334_immortalized_lymphoblastoid_cell_line_0: 1 | PMID23971408_neuroblastoma_.SH.SY5Y._cell_line_0: 1 | PMID26217684_brain_0: 1 | MS_Placenta_Sum: 1 | MS_Brain_Sum: 6 | MS_Skeletal_Muscle_Sum: 1 | MS_Liver_Sum: 2 | MS_Kidney_Sum: 1 | MS_Heart_Sum: 2 | MTS_Mean: 0.931975 | compartments_knowledge_difference: 2.0 | Comm_Mito_Ratio: 0.962 | "	"Characterised"	NA	NA	NA	NA	0	0.00465668929433836
"865"	"ENSG00000152620"	"NADK2"	"ENSG00000152620 ENSDARG00000007181 ENSMUSG00000022253 ENSRNOG00000054157 "	"NAD kinase 2, mitochondrial"	"Known mitochondrial"	1	"PMID14651853_Sum: 1 | PMID17705834_embryonic_stem_cell_line_0: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID19567276_skeletal_muscle_0: 1 | PMID19700791_liver_0: 1 | PMID24708184_Sum: 4 | PMID26450961_Sum: 13 | PMID16615898_Sum: 2 | MS_Placenta_Sum: 1 | MS_Brain_Sum: 5 | MS_Skeletal_Muscle_Sum: 2 | MS_Liver_Sum: 4 | MS_Kidney_Sum: 1 | MS_Heart_Sum: 1 | MTS_Mean: 0.5539875 | hela_subcell_location_Mitochondrion: 1 | compartments_knowledge_difference: 2 | Cluh_Enrichment: 1 | Comm_Mito_Ratio: 0.8 | "	"Characterised; APEX; PMID:23371551"	"616034"	"2,4-dienoyl-CoA reductase deficiency"	"R"	NA	1	0.90764788651388
"866"	"ENSG00000152661"	"GJA1"	"ENSG00000152661 ENSDARG00000041799 ENSMUSG00000050953 ENSRNOG00000000805 "	"gap junction protein, alpha 1, 43kDa"	"Known mitochondrial"	0.819823291	"PMID17519225_T_leukemia_cell_line_0: 1 | PMID18348319_heart_0: 1 | PMID16615898_Sum: 3 | PMID26217684_brain_0: 1 | MS_Placenta_Sum: 1 | MS_Brain_Sum: 2 | MS_Heart_Sum: 2 | MTS_Mean: 0.02714375 | compartments_knowledge_difference: -0.4 | Comm_Mito_Ratio: 0.125 | "	"Literature; PMID: 15919068, PMID: 17107662"	"600309,218400,133200,241550,164200,257850,104100,186100"	"Atrioventricular septal defect 3; Craniometaphyseal dysplasia, autosomal recessive; Erythrokeratodermia variabilis et progressiva; Hypoplastic left heart syndrome 1; Oculodentodigital dysplasia; Oculodentodigital dysplasia, autosomal recessive; Palmoplantar keratoderma with congenital alopecia; Syndactyly, type III"	"B"	NA	1	0.215546849622465
"867"	"ENSG00000152763"	"WDR78"	"ENSG00000152763 ENSDARG00000044400 ENSMUSG00000035126 ENSRNOG00000006999 "	"WD repeat domain 78"	"Predicted mitochondrial"	0.818909497	"MTS_Mean: 0.634175 | "	""	NA	NA	NA	NA	0	7.87925768320976e-11
"868"	"ENSG00000152904"	"GGPS1"	"ENSG00000152904 ENSDARG00000023627 ENSMUSG00000021302 ENSRNOG00000016767 YPL069C "	"geranylgeranyl diphosphate synthase 1"	"Predicted mitochondrial"	0.892018477	"MTS_Mean: 0.214675 | YeastMitoEvidenceGFP: 1 | Rickettsia_Homolog: 1 | Comm_Mito_Ratio: 0.571 | "	""	NA	NA	NA	NA	0	0.666629559092989
"869"	"ENSG00000153291"	"SLC25A27"	"ENSG00000153291 ENSDARG00000042873 ENSMUSG00000023912 ENSRNOG00000010592 "	"solute carrier family 25, member 27"	"Known mitochondrial"	0.866839416	"PMID26450961_Sum: 4 | MS_Brain_Sum: 3 | MTS_Mean: 0.058025 | compartments_knowledge_difference: 1 | "	"Characterised"	NA	NA	NA	NA	0	0.160724478287132
"870"	"ENSG00000153574"	"RPIA"	"ENSG00000153574 ENSDARG00000056640 ENSMUSG00000053604 ENSRNOG00000005576 SPAC144.12 YOR095C "	"ribose 5-phosphate isomerase A"	"Known mitochondrial"	0.875748007	"PMID18348319_heart_0: 1 | PMID26450961_Sum: 1 | MS_Placenta_Sum: 1 | MS_Heart_Sum: 1 | MTS_Mean: 0.3995 | HPA_NonMitochondria: 1 | Comm_Mito_Ratio: 0.2 | "	"Metabolic model; APEX; PMID:23371551"	"608611"	"Ribose 5-phosphate isomerase deficiency"	"R"	NA	1	0.00590911291307371
"871"	"ENSG00000153820"	"SPHKAP"	"ENSG00000153820 ENSDARG00000017429 ENSMUSG00000026163 ENSRNOG00000016388 "	"SPHK1 interactor, AKAP domain containing"	"Known mitochondrial"	0.228478605	"PMID23956156_INS.1Beta_cell_line__0: 1 | MTS_Mean: 0.049225 | compartments_knowledge_difference: -0.8 | Comm_Mito_Ratio: 0.167 | "	"Literature; PMID: 22084075"	NA	NA	NA	NA	0	0.233358014706211
"872"	"ENSG00000153982"	"GDPD1"	"ENSG00000153982 ENSDARG00000017261 ENSMUSG00000061666 ENSRNOG00000060561 "	"glycerophosphodiester phosphodiesterase domain containing 1"	"Predicted mitochondrial"	0.915116257	"PMID17705834_embryonic_stem_cell_line_0: 1 | PMID24708184_Sum: 4 | PMID26450961_Sum: 4 | PMID26217684_brain_0: 1 | MS_Brain_Sum: 3 | MTS_Mean: 0.29598125 | "	""	NA	NA	NA	NA	0	0.00337916957867071
"873"	"ENSG00000154079"	"SDHAF4"	"ENSG00000154079 ENSDARG00000039390 ENSMUSG00000026154 ENSRNOG00000028087 "	"succinate dehydrogenase complex assembly factor 4"	"Known mitochondrial"	0.999996572	"PMID26450961_Sum: 2 | MTS_Mean: 0.820725 | HPA_Mitochondria: 1 | HPA_NonMitochondria: 1 | Rickettsia_Homolog: 1 | compartments_knowledge_difference: 1.6 | "	"Characterised"	NA	NA	NA	NA	0	0.0300229381181541
"874"	"ENSG00000154174"	"TOMM70A"	"ENSG00000154174 ENSDARG00000029639 ENSMUSG00000022752 ENSRNOG00000001640 "	"translocase of outer mitochondrial membrane 70 homolog A (S. cerevisiae)"	"Known mitochondrial"	0.99999999	"PMID12592411_heart_0: 1 | PMID14651853_Sum: 1 | PMID16415296_unknown_0: 1 | PMID17519225_T_leukemia_cell_line_0: 1 | PMID17705834_embryonic_stem_cell_line_0: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID18348319_heart_0: 1 | PMID24708184_Sum: 4 | PMID15501831_Sum: 1 | PMID15598749_T_leukemia_cell_line_0: 1 | PMID16615898_Sum: 3 | PMID17000643_Sum: 1 | PMID23971408_neuroblastoma_.SH.SY5Y._cell_line_0: 1 | PMID26217684_brain_0: 1 | MS_Brain_Sum: 5 | MS_Liver_Sum: 2 | MS_Kidney_Sum: 1 | MS_Heart_Sum: 2 | MTS_Mean: 0.079575 | hela_subcell_location_Mitochondrion: 1 | HPA_Mitochondria: 1 | YeastMitoEvidenceGFP: 1 | compartments_knowledge_difference: 1.0 | Comm_Mito_Ratio: 1 | "	"Characterised"	NA	NA	NA	NA	0	0.998235566053271
"875"	"ENSG00000154229"	"PRKCA"	"ENSG00000154229 ENSDARG00000039241 ENSMUSG00000050965 ENSRNOG00000003491 "	"protein kinase C, alpha"	"Predicted mitochondrial"	0.802591537	"PMID26450961_Sum: 6 | PMID16615898_Sum: 1 | MS_Placenta_Sum: 1 | MS_Brain_Sum: 4 | MTS_Mean: 0.10665625 | HPA_NonMitochondria: 1 | HPA_Cytoplasm: 1 | Comm_Mito_Ratio: 0.406 | "	""	NA	NA	NA	NA	0	0.952135908118796
"876"	"ENSG00000154237"	"LRRK1"	"ENSG00000154237 ENSDARG00000007398 ENSMUSG00000015133 ENSRNOG00000012730 "	"leucine-rich repeat kinase 1"	"Predicted mitochondrial"	0.906222057	"MTS_Mean: 0.03989375 | HPA_Mitochondria: 1 | HPA_Cytoplasm: 1 | compartments_knowledge_difference: 0.8 | Comm_Mito_Ratio: 0.167 | "	""	NA	NA	NA	NA	0	1.5909507477274e-05
"877"	"ENSG00000154258"	"ABCA9"	"ENSG00000154258 ENSMUSG00000041797 ENSRNOG00000059326 "	"ATP-binding cassette, sub-family A (ABC1), member 9"	"Predicted mitochondrial"	0.991634152	"PMID26450961_Sum: 2 | MS_Placenta_Sum: 1 | MS_Brain_Sum: 1 | MTS_Mean: 0.4161375 | MammalMitoEvidenceGFP: 1 | Rickettsia_Homolog: 1 | compartments_knowledge_difference: 1 | "	""	NA	NA	NA	NA	0	1.27777342298461e-26
"878"	"ENSG00000154518"	"ATP5G3"	"ENSG00000154518 ENSDARG00000017775 ENSMUSG00000018770 ENSRNOG00000001596 "	"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit C3 (subunit 9)"	"Known mitochondrial"	0.999999996	"PMID15253431_Sum: 1 | PMID17519225_T_leukemia_cell_line_0: 1 | MS_Heart_Sum: 1 | MTS_Mean: 0.945875 | Rickettsia_Homolog: 1 | compartments_knowledge_difference: 2.6 | Comm_Mito_Ratio: 1 | "	"Characterised; Metabolic model; "	NA	NA	NA	NA	0	0.538092564469556
"879"	"ENSG00000154719"	"MRPL39"	"ENSG00000154719 ENSDARG00000041570 ENSMUSG00000022889 ENSRNOG00000047563 "	"mitochondrial ribosomal protein L39"	"Known mitochondrial"	1	"PMID17519225_T_leukemia_cell_line_0: 1 | PMID17705834_embryonic_stem_cell_line_0: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID18348319_heart_0: 1 | PMID19567276_skeletal_muscle_0: 1 | PMID24708184_Sum: 4 | PMID26450961_Sum: 13 | PMID12652598_neuroblastoma_cell_line_IMR.32_0: 1 | PMID15501831_Sum: 1 | PMID21189371_mammary_gland_0: 1 | MS_Placenta_Sum: 1 | MS_Brain_Sum: 5 | MS_Skeletal_Muscle_Sum: 2 | MS_Liver_Sum: 1 | MS_Kidney_Sum: 1 | MS_Heart_Sum: 2 | MTS_Mean: 0.89136875 | hela_subcell_location_Mitochondrion: 1 | Rickettsia_Homolog: 1 | compartments_knowledge_difference: 1.2 | Cluh_Enrichment: 1 | Comm_Mito_Ratio: 1 | "	"Characterised; APEX; PMID:23371551"	NA	NA	NA	NA	0	0.000718691512555642
"880"	"ENSG00000154723"	"ATP5J"	"ENSG00000154723 ENSDARG00000014313 ENSMUSG00000022890 ENSRNOG00000001551 "	"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit F6"	"Known mitochondrial"	1	"PMID12592411_heart_0: 1 | PMID14651853_Sum: 4 | PMID15253431_Sum: 1 | PMID16415296_unknown_0: 1 | PMID17519225_T_leukemia_cell_line_0: 1 | PMID17705834_embryonic_stem_cell_line_0: 1 | PMID18348319_heart_0: 1 | PMID19567276_skeletal_muscle_0: 1 | PMID19700791_liver_0: 1 | PMID24708184_Sum: 4 | PMID26450961_Sum: 14 | PMID12865426_liver_0: 1 | PMID15986334_immortalized_lymphoblastoid_cell_line_0: 1 | PMID16615898_Sum: 3 | PMID16615899_liver_0: 1 | PMID17000643_Sum: 2 | PMID21189371_mammary_gland_0: 1 | PMID23971408_neuroblastoma_.SH.SY5Y._cell_line_0: 1 | PMID26217684_brain_0: 1 | MS_Placenta_Sum: 1 | MS_Brain_Sum: 8 | MS_Skeletal_Muscle_Sum: 2 | MS_Liver_Sum: 7 | MS_Kidney_Sum: 3 | MS_Heart_Sum: 6 | MTS_Mean: 0.9731125 | hela_subcell_location_Mitochondrion: 1 | HPA_Mitochondria: 1 | compartments_knowledge_difference: 3 | Comm_Mito_Ratio: 0.923 | "	"Characterised; Metabolic model; "	NA	NA	NA	NA	0	0.100188831785232
"881"	"ENSG00000154814"	"OXNAD1"	"ENSG00000154814 ENSDARG00000062664 ENSMUSG00000021906 ENSRNOG00000019760 "	"oxidoreductase NAD-binding domain containing 1"	"Known mitochondrial"	0.999999999	"PMID17705834_embryonic_stem_cell_line_0: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID18348319_heart_0: 1 | PMID19700791_liver_0: 1 | PMID24708184_Sum: 4 | PMID26450961_Sum: 10 | MS_Placenta_Sum: 1 | MS_Brain_Sum: 3 | MS_Liver_Sum: 2 | MS_Heart_Sum: 2 | MTS_Mean: 0.6516375 | hela_subcell_location_Mitochondrion: 1 | HPA_NonMitochondria: 1 | MammalMitoEvidenceGFP: 1 | compartments_knowledge_difference: 1 | Comm_Mito_Ratio: 0.357 | "	"APEX; PMID:23371551"	NA	NA	NA	NA	0	2.37384753438508e-05
"882"	"ENSG00000154930"	"ACSS1"	"ENSG00000154930 ENSDARG00000044142 ENSMUSG00000027452 ENSRNOG00000007102 "	"acyl-CoA synthetase short-chain family member 1"	"Known mitochondrial"	0.999999967	"PMID12592411_heart_0: 1 | PMID15253431_Sum: 1 | PMID17519225_T_leukemia_cell_line_0: 1 | PMID18348319_heart_0: 1 | PMID19567276_skeletal_muscle_0: 1 | PMID26450961_Sum: 13 | PMID12601808_placenta_0: 1 | PMID16615898_Sum: 4 | PMID21189371_mammary_gland_0: 1 | MS_Placenta_Sum: 3 | MS_Brain_Sum: 3 | MS_Skeletal_Muscle_Sum: 2 | MS_Kidney_Sum: 2 | MS_Heart_Sum: 5 | MTS_Mean: 0.96543125 | compartments_knowledge_difference: 2 | Comm_Mito_Ratio: 0.842 | "	"Characterised; Metabolic model; "	NA	NA	NA	NA	0	0.00139669613638913
"883"	"ENSG00000155008"	"APOOL"	"ENSG00000155008 ENSDARG00000039374 ENSMUSG00000025525 ENSRNOG00000004512 "	"apolipoprotein O-like"	"Known mitochondrial"	0.999999999	"PMID12592411_heart_0: 1 | PMID14651853_Sum: 1 | PMID15253431_Sum: 2 | PMID17705834_embryonic_stem_cell_line_0: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID18348319_heart_0: 1 | PMID19567276_skeletal_muscle_0: 1 | PMID19700791_liver_0: 1 | PMID24708184_Sum: 3 | PMID26450961_Sum: 14 | PMID16615899_liver_0: 1 | PMID17000643_Sum: 1 | PMID23971408_neuroblastoma_.SH.SY5Y._cell_line_0: 1 | MS_Placenta_Sum: 1 | MS_Brain_Sum: 4 | MS_Skeletal_Muscle_Sum: 2 | MS_Liver_Sum: 4 | MS_Kidney_Sum: 2 | MS_Heart_Sum: 5 | MTS_Mean: 0.08766875 | hela_subcell_location_Mitochondrion: 1 | HPA_Mitochondria: 1 | compartments_knowledge_difference: 2 | "	"OMIM:300955"	NA	NA	NA	NA	0	0.86631270153769
"884"	"ENSG00000155189"	"AGPAT5"	"ENSG00000155189 ENSDARG00000063187 ENSMUSG00000031467 ENSRNOG00000028623 "	"1-acylglycerol-3-phosphate O-acyltransferase 5"	"Known mitochondrial"	0.996762807	"PMID23956156_INS.1Beta_cell_line__0: 1 | PMID24708184_Sum: 3 | PMID26450961_Sum: 8 | MS_Placenta_Sum: 1 | MS_Brain_Sum: 3 | MTS_Mean: 0.30685625 | hela_subcell_location_Mitochondrion: 1 | HPA_NonMitochondria: 1 | HPA_Cytoplasm: 1 | Rickettsia_Homolog: 1 | compartments_knowledge_difference: 0.6 | Comm_Mito_Ratio: 0.217 | "	"Metabolic model"	NA	NA	NA	NA	0	0.00579495332667733
"885"	"ENSG00000155287"	"SLC25A28"	"ENSG00000155287 ENSDARG00000052994 ENSMUSG00000040414 ENSRNOG00000016751 SPAC8C9.12c YKR052C "	"solute carrier family 25 (mitochondrial iron transporter), member 28"	"Known mitochondrial"	0.995816316	"PMID24708184_Sum: 1 | MS_Brain_Sum: 1 | MTS_Mean: 0.08460625 | YeastMitoEvidenceGFP: 1 | compartments_knowledge_difference: 1.6 | Comm_Mito_Ratio: 1 | "	"OMIM:609767"	NA	NA	NA	NA	0	0.765079077823325
"886"	"ENSG00000155368"	"DBI"	"ENSG00000155368 ENSDARG00000026369 ENSMUSG00000026385 ENSRNOG00000046889 SPBC1539.06 YGR037C "	"diazepam binding inhibitor (GABA receptor modulator, acyl-CoA binding protein)"	"Known mitochondrial"	0.763812551	"PMID14651853_Sum: 2 | PMID16415296_unknown_0: 1 | PMID17705834_embryonic_stem_cell_line_0: 1 | PMID19700791_liver_0: 1 | PMID24708184_Sum: 2 | PMID16615898_Sum: 3 | PMID26217684_brain_0: 1 | MS_Brain_Sum: 3 | MS_Liver_Sum: 3 | MS_Kidney_Sum: 2 | MTS_Mean: 0.0643 | hela_subcell_location_NotMitochondrion: 1 | compartments_knowledge_difference: -1.8 | Comm_Mito_Ratio: 0.625 | "	"OMIM:125950"	NA	NA	NA	NA	0	0.000164260337073615
"887"	"ENSG00000155463"	"OXA1L"	"ENSG00000155463 ENSDARG00000069313 ENSMUSG00000000959 ENSRNOG00000009713 "	"oxidase (cytochrome c) assembly 1-like"	"Known mitochondrial"	1	"PMID23956156_INS.1Beta_cell_line__0: 1 | PMID19567276_skeletal_muscle_0: 1 | PMID24708184_Sum: 4 | PMID26450961_Sum: 10 | PMID12865426_liver_0: 1 | PMID23971408_neuroblastoma_.SH.SY5Y._cell_line_0: 1 | MS_Placenta_Sum: 1 | MS_Brain_Sum: 4 | MS_Skeletal_Muscle_Sum: 1 | MS_Liver_Sum: 1 | MS_Kidney_Sum: 1 | MS_Heart_Sum: 1 | MTS_Mean: 0.81441875 | hela_subcell_location_Mitochondrion: 1 | HPA_Mitochondria: 1 | YeastMitoEvidenceGFP: 1 | Rickettsia_Homolog: 1 | compartments_knowledge_difference: 2 | Cluh_Enrichment: 1 | Comm_Mito_Ratio: 1 | "	"Characterised; APEX; PMID:23371551"	NA	NA	NA	NA	0	5.96038677388776e-09
